id,species1,species2,species3
sample_1,0.333333333333333,0.333333333333333,0.333333333333333
sample_2,0.333333333333333,0.333333333333333,0.333333333333333
sample_3,0.333333333333333,0.333333333333333,0.333333333333333
sample_4,0.333333333333333,0.333333333333333,0.333333333333333
sample_5,0.333333333333333,0.333333333333333,0.333333333333333
sample_6,0.333333333333333,0.333333333333333,0.333333333333333
sample_7,0.333333333333333,0.333333333333333,0.333333333333333
sample_8,0.333333333333333,0.333333333333333,0.333333333333333
sample_9,0.333333333333333,0.333333333333333,0.333333333333333
sample_10,0.333333333333333,0.333333333333333,0.333333333333333
sample_11,0.333333333333333,0.333333333333333,0.333333333333333
sample_12,0.333333333333333,0.333333333333333,0.333333333333333
sample_13,0.333333333333333,0.333333333333333,0.333333333333333
sample_14,0.333333333333333,0.333333333333333,0.333333333333333
sample_15,0.333333333333333,0.333333333333333,0.333333333333333
sample_16,0.333333333333333,0.333333333333333,0.333333333333333
sample_17,0.333333333333333,0.333333333333333,0.333333333333333
sample_18,0.333333333333333,0.333333333333333,0.333333333333333
sample_19,0.333333333333333,0.333333333333333,0.333333333333333
sample_20,0.333333333333333,0.333333333333333,0.333333333333333
sample_21,0.333333333333333,0.333333333333333,0.333333333333333
sample_22,0.333333333333333,0.333333333333333,0.333333333333333
sample_23,0.333333333333333,0.333333333333333,0.333333333333333
sample_24,0.333333333333333,0.333333333333333,0.333333333333333
sample_25,0.333333333333333,0.333333333333333,0.333333333333333
sample_26,0.333333333333333,0.333333333333333,0.333333333333333
sample_27,0.333333333333333,0.333333333333333,0.333333333333333
sample_28,0.333333333333333,0.333333333333333,0.333333333333333
sample_29,0.333333333333333,0.333333333333333,0.333333333333333
sample_30,0.333333333333333,0.333333333333333,0.333333333333333
sample_31,0.333333333333333,0.333333333333333,0.333333333333333
sample_32,0.333333333333333,0.333333333333333,0.333333333333333
sample_33,0.333333333333333,0.333333333333333,0.333333333333333
sample_34,0.333333333333333,0.333333333333333,0.333333333333333
sample_35,0.333333333333333,0.333333333333333,0.333333333333333
sample_36,0.333333333333333,0.333333333333333,0.333333333333333
sample_37,0.333333333333333,0.333333333333333,0.333333333333333
sample_38,0.333333333333333,0.333333333333333,0.333333333333333
sample_39,0.333333333333333,0.333333333333333,0.333333333333333
sample_40,0.333333333333333,0.333333333333333,0.333333333333333
sample_41,0.333333333333333,0.333333333333333,0.333333333333333
sample_42,0.333333333333333,0.333333333333333,0.333333333333333
sample_43,0.333333333333333,0.333333333333333,0.333333333333333
sample_44,0.333333333333333,0.333333333333333,0.333333333333333
sample_45,0.333333333333333,0.333333333333333,0.333333333333333
sample_46,0.333333333333333,0.333333333333333,0.333333333333333
sample_47,0.333333333333333,0.333333333333333,0.333333333333333
sample_48,0.333333333333333,0.333333333333333,0.333333333333333
sample_49,0.333333333333333,0.333333333333333,0.333333333333333
sample_50,0.333333333333333,0.333333333333333,0.333333333333333
sample_51,0.333333333333333,0.333333333333333,0.333333333333333
sample_52,0.333333333333333,0.333333333333333,0.333333333333333
sample_53,0.333333333333333,0.333333333333333,0.333333333333333
sample_54,0.333333333333333,0.333333333333333,0.333333333333333
sample_55,0.333333333333333,0.333333333333333,0.333333333333333
sample_56,0.333333333333333,0.333333333333333,0.333333333333333
sample_57,0.333333333333333,0.333333333333333,0.333333333333333
sample_58,0.333333333333333,0.333333333333333,0.333333333333333
sample_59,0.333333333333333,0.333333333333333,0.333333333333333
sample_60,0.333333333333333,0.333333333333333,0.333333333333333
sample_61,0.333333333333333,0.333333333333333,0.333333333333333
sample_62,0.333333333333333,0.333333333333333,0.333333333333333
sample_63,0.333333333333333,0.333333333333333,0.333333333333333
sample_64,0.333333333333333,0.333333333333333,0.333333333333333
sample_65,0.333333333333333,0.333333333333333,0.333333333333333
sample_66,0.333333333333333,0.333333333333333,0.333333333333333
